"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2020","206.39","205.53","207.45","200.80","19.02M","4.42%"
"Mar 09, 2020","197.66","195.62","199.89","193.93","25.50M","-3.41%"
"Mar 06, 2020","204.64","206.70","207.00","201.10","21.70M","-3.23%"
"Mar 05, 2020","211.46","210.00","215.15","209.14","13.46M","-0.24%"
"Mar 04, 2020","211.96","209.49","212.70","208.85","12.47M","2.19%"
"Mar 03, 2020","207.41","211.08","211.39","202.24","20.81M","-1.69%"
"Mar 02, 2020","210.98","208.59","211.11","203.76","21.54M","1.43%"
"Feb 28, 2020","208.00","198.98","208.92","198.56","31.28M","1.45%"
"Feb 27, 2020","205.03","205.01","209.97","201.86","22.74M","-1.78%"
"Feb 26, 2020","208.74","206.80","213.08","206.79","19.54M","1.52%"
"Feb 25, 2020","205.61","208.51","209.95","204.10","18.13M","-0.27%"
"Feb 24, 2020","206.16","203.55","207.28","202.51","19.38M","-3.02%"
"Feb 21, 2020","212.59","217.54","217.60","211.56","17.70M","-2.50%"
"Feb 20, 2020","218.04","222.50","222.50","214.22","14.95M","-1.85%"
"Feb 19, 2020","222.14","221.52","223.56","220.75","10.80M","0.73%"
"Feb 18, 2020","220.52","218.55","220.85","217.51","13.02M","0.41%"
"Feb 14, 2020","219.63","221.10","221.64","218.23","10.69M","-0.33%"
"Feb 13, 2020","220.36","220.00","225.00","218.99","28.07M","-1.76%"
"Feb 12, 2020","224.31","221.13","225.52","220.21","18.67M","3.27%"
"Feb 11, 2020","217.21","219.91","220.01","215.29","16.07M","0.67%"
"Feb 10, 2020","215.77","213.50","215.77","212.20","17.42M","-0.35%"
"Feb 07, 2020","216.53","217.46","217.84","214.88","13.79M","-1.98%"
"Feb 06, 2020","220.90","223.13","223.65","219.78","10.79M","0.31%"
"Feb 05, 2020","220.22","226.52","226.70","217.54","15.77M","-1.19%"
"Feb 04, 2020","222.88","221.35","224.38","220.49","16.70M","4.59%"
"Feb 03, 2020","213.10","208.67","215.02","208.67","14.13M","3.15%"
"Jan 31, 2020","206.59","206.50","207.93","204.73","18.18M","-0.95%"
"Jan 30, 2020","208.58","207.88","209.86","205.03","14.38M","-1.62%"
"Jan 29, 2020","212.02","212.56","213.98","209.52","12.90M","0.85%"
"Jan 28, 2020","210.23","209.74","210.91","207.17","16.20M","2.32%"
"Jan 27, 2020","205.47","201.22","208.02","199.50","24.57M","-3.87%"
"Jan 24, 2020","213.75","218.49","219.83","211.33","18.14M","-2.46%"
"Jan 23, 2020","219.13","217.93","220.13","216.77","18.52M","-1.46%"
"Jan 22, 2020","222.37","224.69","225.58","222.00","10.06M","0.05%"
"Jan 21, 2020","222.26","222.45","222.60","220.73","15.83M","-2.27%"
"Jan 17, 2020","227.43","225.90","228.00","225.35","12.96M","1.56%"
"Jan 16, 2020","223.94","226.30","226.33","222.73","13.71M","-0.50%"
"Jan 15, 2020","225.06","226.65","227.82","224.39","10.74M","-0.63%"
"Jan 14, 2020","226.49","230.05","230.18","224.88","17.30M","-1.73%"
"Jan 13, 2020","230.48","228.81","231.14","227.04","17.57M","2.97%"
"Jan 10, 2020","223.83","223.90","225.96","222.06","12.30M","0.92%"
"Jan 09, 2020","221.78","221.50","223.08","220.82","13.14M","1.73%"
"Jan 08, 2020","218.00","216.60","220.65","216.32","11.98M","0.17%"
"Jan 07, 2020","217.63","217.64","218.94","216.69","9.54M","0.46%"
"Jan 06, 2020","216.64","214.89","217.16","214.09","11.89M","-0.17%"
"Jan 03, 2020","217.00","216.35","218.20","216.01","8.61M","-1.26%"
"Jan 02, 2020","219.77","216.60","219.98","216.54","15.88M","3.62%"
"Dec 31, 2019","212.10","212.00","213.64","210.73","6.78M","-0.38%"
"Dec 30, 2019","212.91","215.78","215.78","211.76","8.75M","-1.19%"
"Dec 27, 2019","215.47","217.99","218.11","215.17","11.68M","-0.42%"
"Dec 26, 2019","216.38","214.65","216.99","214.33","6.92M","0.99%"
"Dec 24, 2019","214.26","215.01","215.43","213.35","5.52M","-0.27%"
"Dec 23, 2019","214.83","213.25","215.05","212.91","12.54M","1.22%"
