"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2020","11.442","11.328","11.670","10.502","-","4.57%"
"Mar 16, 2020","10.942","11.090","11.258","10.406","36.81M","-5.02%"
"Mar 13, 2020","11.520","11.996","12.394","11.320","32.96M","-0.29%"
"Mar 12, 2020","11.554","12.312","12.424","11.162","47.36M","-10.66%"
"Mar 11, 2020","12.932","13.200","13.452","12.870","25.85M","-1.15%"
"Mar 10, 2020","13.082","13.784","13.916","13.058","34.78M","-4.25%"
"Mar 09, 2020","13.662","14.038","14.136","13.620","36.33M","-6.63%"
"Mar 06, 2020","14.632","14.830","14.912","14.502","22.13M","-2.28%"
"Mar 05, 2020","14.974","15.104","15.152","14.826","14.85M","-0.41%"
"Mar 04, 2020","15.036","14.774","15.036","14.662","17.25M","1.83%"
"Mar 03, 2020","14.766","14.950","15.080","14.704","24.37M","0.20%"
"Mar 02, 2020","14.736","14.764","15.090","14.442","23.09M","-0.14%"
"Feb 28, 2020","14.756","14.980","15.146","14.560","36.29M","-3.71%"
"Feb 27, 2020","15.324","15.500","15.652","15.238","24.57M","-2.62%"
"Feb 26, 2020","15.736","15.804","15.848","15.486","19.23M","-0.29%"
"Feb 25, 2020","15.782","16.260","16.270","15.712","17.58M","-2.34%"
"Feb 24, 2020","16.160","16.234","16.396","16.088","17.98M","-2.06%"
"Feb 21, 2020","16.500","16.600","16.634","16.400","16.81M","-0.76%"
"Feb 20, 2020","16.626","16.550","16.748","16.486","13.12M","0.46%"
"Feb 19, 2020","16.550","16.150","16.616","16.122","24.15M","4.15%"
"Feb 18, 2020","15.890","15.590","15.910","15.580","11.33M","1.35%"
"Feb 17, 2020","15.678","15.676","15.732","15.640","5.68M","0.31%"
"Feb 14, 2020","15.630","15.534","15.692","15.534","8.10M","0.45%"
"Feb 13, 2020","15.560","15.512","15.612","15.362","12.79M","-0.33%"
"Feb 12, 2020","15.612","15.454","15.648","15.438","14.99M","1.23%"
"Feb 11, 2020","15.422","15.450","15.544","15.338","25.57M","3.75%"
"Feb 10, 2020","14.864","14.934","14.944","14.804","5.85M","-0.26%"
"Feb 07, 2020","14.902","14.822","14.948","14.816","7.51M","0.36%"
"Feb 06, 2020","14.848","14.748","14.946","14.720","7.64M","0.80%"
"Feb 05, 2020","14.730","14.648","14.730","14.616","9.25M","0.38%"
"Feb 04, 2020","14.674","14.684","14.736","14.632","8.42M","0.25%"
"Feb 03, 2020","14.638","14.678","14.702","14.590","8.34M","0.22%"
"Jan 31, 2020","14.606","14.676","14.764","14.590","11.38M","-0.49%"
"Jan 30, 2020","14.678","14.688","14.748","14.610","11.62M","-1.21%"
"Jan 29, 2020","14.858","14.868","14.944","14.818","7.52M","-0.35%"
"Jan 28, 2020","14.910","14.650","14.932","14.632","11.64M","2.38%"
"Jan 27, 2020","14.564","14.726","14.778","14.562","9.64M","-1.59%"
"Jan 24, 2020","14.800","14.672","14.830","14.666","7.88M","0.90%"
"Jan 23, 2020","14.668","14.848","14.848","14.660","9.57M","-1.35%"
"Jan 22, 2020","14.868","14.924","14.962","14.828","8.32M","0.24%"
"Jan 21, 2020","14.832","14.708","14.852","14.670","8.32M","0.49%"
"Jan 20, 2020","14.760","14.630","14.782","14.512","6.89M","0.54%"
"Jan 17, 2020","14.680","14.718","14.744","14.650","9.93M","-0.11%"
"Jan 16, 2020","14.696","14.674","14.712","14.628","6.33M","0.11%"
"Jan 15, 2020","14.680","14.668","14.710","14.582","7.50M","0.27%"
"Jan 14, 2020","14.640","14.642","14.658","14.540","8.66M","-0.08%"
"Jan 13, 2020","14.652","14.820","14.824","14.624","8.38M","-0.75%"
"Jan 10, 2020","14.762","14.818","14.862","14.748","7.88M","-0.59%"
"Jan 09, 2020","14.850","14.610","14.876","14.606","14.51M","2.08%"
"Jan 08, 2020","14.548","14.564","14.606","14.470","10.76M","-0.40%"
"Jan 07, 2020","14.606","14.576","14.722","14.574","9.65M","0.19%"
"Jan 06, 2020","14.578","14.580","14.612","14.464","7.34M","-0.25%"
"Jan 03, 2020","14.614","14.570","14.628","14.518","9.23M","0.03%"
"Jan 02, 2020","14.610","14.598","14.668","14.534","9.44M","0.27%"
"Dec 30, 2019","14.570","14.732","14.746","14.570","5.77M","-0.99%"
"Dec 27, 2019","14.716","14.758","14.758","14.612","5.59M","-0.03%"
"Dec 23, 2019","14.720","14.756","14.790","14.674","8.47M","-0.55%"
"Dec 20, 2019","14.802","14.734","14.908","14.678","29.03M","0.46%"
"Dec 19, 2019","14.734","14.786","14.804","14.596","14.13M","-0.05%"
"Dec 18, 2019","14.742","14.840","14.896","14.742","12.71M","-0.79%"
"Dec 17, 2019","14.860","14.864","14.968","14.828","10.18M","-0.16%"
"Dec 16, 2019","14.884","14.840","14.906","14.826","9.41M","0.83%"
"Dec 13, 2019","14.762","14.930","14.930","14.758","12.50M","-0.11%"
"Dec 12, 2019","14.778","14.932","14.940","14.770","10.49M","-0.79%"
"Dec 11, 2019","14.896","14.892","14.954","14.804","8.35M","0.03%"
"Dec 10, 2019","14.892","14.968","14.976","14.784","10.26M","-0.88%"
"Dec 09, 2019","15.024","15.050","15.086","15.000","5.85M","-0.27%"
"Dec 06, 2019","15.064","15.022","15.114","14.968","6.35M","0.36%"
"Dec 05, 2019","15.010","15.064","15.094","14.996","6.93M","-0.15%"
"Dec 04, 2019","15.032","14.948","15.046","14.856","9.54M","0.76%"
"Dec 03, 2019","14.918","14.972","14.990","14.864","11.02M","0.08%"
"Dec 02, 2019","14.906","15.300","15.312","14.898","13.21M","-2.17%"
"Nov 29, 2019","15.236","15.200","15.306","15.156","7.78M","0.16%"
"Nov 28, 2019","15.212","15.220","15.270","15.180","4.38M","-0.26%"
"Nov 27, 2019","15.252","15.052","15.350","15.022","13.83M","1.33%"
"Nov 26, 2019","15.052","15.080","15.100","14.970","13.24M","-0.17%"
"Nov 25, 2019","15.078","15.110","15.128","15.052","6.06M","-0.13%"
"Nov 22, 2019","15.098","15.102","15.162","15.058","8.84M","0.25%"
"Nov 21, 2019","15.060","15.102","15.144","15.054","10.24M","-0.26%"
"Nov 20, 2019","15.100","15.136","15.142","15.048","8.22M","-0.37%"
"Nov 19, 2019","15.156","15.236","15.250","15.106","8.37M","-0.34%"
"Nov 18, 2019","15.208","15.214","15.242","15.108","11.51M","0.09%"
"Nov 15, 2019","15.194","15.230","15.232","15.088","12.48M","0.44%"
"Nov 14, 2019","15.128","15.250","15.280","15.118","9.48M","-0.99%"
"Nov 13, 2019","15.280","15.354","15.410","15.254","7.98M","-0.47%"
"Nov 12, 2019","15.352","15.332","15.398","15.246","7.64M","0.35%"
"Nov 11, 2019","15.298","15.320","15.362","15.268","9.22M","-0.92%"
"Nov 08, 2019","15.440","15.320","15.586","15.294","14.05M","0.55%"
"Nov 07, 2019","15.356","15.450","15.466","15.090","24.79M","-2.04%"
"Nov 06, 2019","15.676","15.606","15.718","15.586","7.32M","0.26%"
"Nov 05, 2019","15.636","15.686","15.686","15.558","7.73M","-0.19%"
"Nov 04, 2019","15.666","15.674","15.708","15.502","7.97M","0.32%"
"Nov 01, 2019","15.616","15.850","15.852","15.586","8.27M","-0.96%"
"Oct 31, 2019","15.768","15.704","15.846","15.682","10.48M","0.32%"
"Oct 30, 2019","15.718","15.712","15.760","15.640","6.49M","0.37%"
"Oct 29, 2019","15.660","15.942","15.950","15.608","10.16M","-1.53%"
"Oct 28, 2019","15.904","15.968","15.970","15.816","7.92M","-0.64%"
"Oct 25, 2019","16.006","16.006","16.014","15.872","6.58M","0.09%"
"Oct 24, 2019","15.992","16.216","16.240","15.968","10.83M","-1.61%"
"Oct 23, 2019","16.254","16.134","16.256","16.102","8.06M","0.69%"
"Oct 22, 2019","16.142","15.992","16.166","15.944","8.83M","1.00%"
"Oct 21, 2019","15.982","15.940","16.076","15.920","9.85M","0.31%"
"Oct 18, 2019","15.932","15.858","15.932","15.774","10.14M","0.57%"
"Oct 17, 2019","15.842","15.686","15.932","15.686","12.31M","0.85%"
"Oct 16, 2019","15.708","15.728","15.774","15.554","11.79M","-0.09%"
"Oct 15, 2019","15.722","15.558","15.778","15.538","11.38M","1.46%"
"Oct 14, 2019","15.496","15.446","15.520","15.424","5.97M","0.26%"
"Oct 11, 2019","15.456","15.314","15.464","15.260","10.73M","0.99%"
"Oct 10, 2019","15.304","15.354","15.394","15.246","10.65M","-0.30%"
"Oct 09, 2019","15.350","15.274","15.470","15.260","7.17M","0.51%"
"Oct 08, 2019","15.272","15.250","15.320","15.172","7.19M","0.14%"
"Oct 07, 2019","15.250","15.064","15.250","15.064","5.35M","0.78%"
"Oct 04, 2019","15.132","15.094","15.140","15.004","9.20M","0.53%"
"Oct 02, 2019","15.052","15.332","15.372","15.052","10.06M","-1.86%"
"Oct 01, 2019","15.338","15.400","15.476","15.280","7.80M","-0.36%"
