date,length,pos,neg
2015-01-01,1716,0.1538787878787877,0.04342365967365972
2015-01-02,1699,0.13461683343143024,0.03532195409064155
2015-01-03,1719,0.14188830715532283,0.06158755090168715
2015-01-04,1320,0.13175681818181814,0.0608439393939394
2015-01-05,1228,0.10742752442996732,0.07295276872964171
2015-01-06,1215,0.13107078189300425,0.07238024691358032
2015-01-07,1019,0.10884592737978395,0.04945338567222765
2015-01-08,1011,0.13201582591493566,0.02637190900098912
2015-01-09,1015,0.10709753694581282,0.04387389162561568
2015-01-10,1000,0.14234899999999995,0.030090999999999996
2015-01-11,1000,0.13308999999999999,0.026453000000000008
2015-01-12,1000,0.12045899999999993,0.04021900000000001
2015-01-13,1011,0.10849357072205734,0.07475173095944611
2015-01-14,1021,0.1284799216454457,0.07470029382957886
2015-01-15,1016,0.13345570866141712,0.09672047244094491
2015-01-16,1013,0.11430108588351427,0.06486179664363279
2015-01-17,1000,0.11062099999999993,0.06849600000000003
2015-01-18,1000,0.152851,0.04678900000000003
2015-01-19,1008,0.126640873015873,0.05740476190476191
2015-01-20,1005,0.1436845771144278,0.028145273631840797
2015-01-21,1006,0.16599105367793232,0.028958250497017918
2015-01-22,1018,0.13066404715127694,0.045799607072691595
2015-01-23,1000,0.15517199999999992,0.030049000000000003
2015-01-24,1000,0.1793829999999994,0.023170999999999987
2015-01-25,1000,0.1604329999999997,0.036236999999999985
2015-01-26,1035,0.14191594202898525,0.023914975845410625
2015-01-27,1018,0.10500098231827096,0.03164047151277013
2015-01-28,1017,0.15488593903638118,0.04022222222222224
2015-01-29,1003,0.1609441674975073,0.08220139581256222
2015-01-30,1012,0.12815612648221336,0.0366600790513834
2015-01-31,1000,0.137637,0.03228699999999999
2015-02-01,1000,0.14398399999999986,0.033599999999999984
2015-02-02,1014,0.14410157790926978,0.038022682445759355
2015-02-03,1019,0.12778115799803694,0.03388223748773306
2015-02-04,1016,0.1626535433070861,0.027554133858267726
2015-02-05,1011,0.1504886251236398,0.027565776458951533
2015-02-06,1016,0.12693208661417316,0.03237696850393699
2015-02-07,1000,0.13630999999999985,0.026350000000000002
2015-02-08,1000,0.15036899999999992,0.024966
2015-02-09,1017,0.17512979351032412,0.0388652900688299
2015-02-10,1000,0.1403459999999998,0.04269400000000001
2015-02-11,1000,0.13979299999999978,0.030530999999999996
2015-02-12,1000,0.15521500000000024,0.017126000000000006
2015-02-13,1019,0.12271344455348382,0.042111874386653605
2015-02-14,1000,0.16546099999999989,0.026329999999999992
2015-02-15,1000,0.15872300000000028,0.04213199999999999
2015-02-16,1658,0.15717129071170097,0.07543063932448736
2015-02-17,1524,0.1515682414698162,0.03450853018372706
2015-02-18,1500,0.13652866666666655,0.03956933333333333
2015-02-19,1426,0.16054207573632523,0.042382187938288976
2015-02-20,1018,0.14611984282907658,0.03313359528487229
2015-02-21,1000,0.1388709999999998,0.04527800000000005
2015-02-22,1000,0.13096199999999983,0.028314
2015-02-23,1017,0.11215732546705996,0.0472684365781711
2015-02-24,1007,0.12996524329692136,0.032908639523336655
2015-02-25,1007,0.13758788480635561,0.04202780536246276
2015-02-26,539,0.15686085343228218,0.033569573283859
2015-02-27,500,0.11511800000000005,0.023264000000000003
2015-02-28,500,0.11565200000000005,0.05176599999999997
2015-03-01,500,0.138854,0.03409999999999998
2015-03-02,500,0.14787000000000008,0.053582000000000025
2015-03-03,519,0.12018689788053948,0.02155491329479769
2015-03-04,500,0.13082400000000025,0.028577999999999996
2015-03-05,500,0.10424400000000006,0.04453399999999999
2015-03-06,500,0.14498199999999997,0.03923799999999998
2015-03-07,509,0.10561100196463662,0.04116699410609036
2015-03-08,500,0.1322660000000001,0.02763600000000001
2015-03-09,500,0.11949400000000006,0.041413999999999986
2015-03-10,500,0.15864400000000015,0.030499999999999985
2015-03-11,500,0.10997400000000007,0.033372
2015-03-12,500,0.10576399999999997,0.04342400000000001
2015-03-13,500,0.1460680000000001,0.027246000000000013
2015-03-14,500,0.144022,0.03322400000000001
2015-03-15,500,0.12703200000000012,0.03552399999999999
2015-03-16,512,0.11747656250000009,0.0313359375
2015-03-17,500,0.11605200000000009,0.026253999999999982
2015-03-18,500,0.09632600000000005,0.04089000000000002
2015-03-19,500,0.11764999999999996,0.040827999999999996
2015-03-20,515,0.12422135922330102,0.03438446601941749
2015-03-21,500,0.14509400000000006,0.035098
2015-03-22,500,0.16681600000000008,0.028182
2015-03-23,519,0.146204238921002,0.03009633911368016
2015-03-24,500,0.14771199999999998,0.030276000000000008
2015-03-25,500,0.16804599999999986,0.03546400000000002
2015-03-26,500,0.17482799999999965,0.015181999999999996
2015-03-27,518,0.1803185328185324,0.021994208494208488
2015-03-28,519,0.20953179190751398,0.023680154142581882
2015-03-29,500,0.17285599999999982,0.028131999999999994
2015-03-30,500,0.1701019999999999,0.027906000000000007
2015-03-31,500,0.1629539999999999,0.06546000000000002
2015-04-01,500,0.14017000000000013,0.04141
2015-04-02,500,0.1777599999999997,0.02933200000000001
2015-04-03,500,0.147038,0.049010000000000005
2015-04-04,500,0.15940200000000002,0.03143000000000001
