,bitcoin_Price_x,sp500_Price_x,dax_Price_x,googl_Price_x,gold_Price_x,alibaba_Price_x,amazon_Price_x,bitcoin_Google_Trends_x,cryptocurrency_Google_Trends_x,trading_Google_Trends_x,bitcoin_pos_sents_x,bitcoin_neg_sents_x,bitcoin_quot_sents_x,economy_pos_sents_x,economy_neg_sents_x,economy_quot_sents_x,bitcoin_Price_prev_month_x,googl_Price_prev_month_x,alibaba_Price_prev_month_x,sp500_Price_prev_month_x,gold_Price_prev_month_x,dax_Price_prev_month_x,economy_pos_sents_prev_month_x,bitcoin_trends_prev_month_x,cryptocurrency_trends_prev_month_x,bitcoin_Price_prev_week_x,googl_Price_prev_week_x,alibaba_Price_prev_week_x,sp500_Price_prev_week_x,gold_Price_prev_week_x,dax_Price_prev_week_x,economy_pos_sents_prev_week_x,bitcoin_trends_prev_week_x,cryptocurrency_trends_prev_week_x,month-1_x,month-2_x,month-3_x
bitcoin_Price_y,1.0,0.1122,0.0336,0.0212,0.7389,0.0,0.3146,0.0001,0.0,0.394,0.2541,0.2908,0.5708,0.0514,0.4247,0.3008,0.0,0.0274,0.0003,0.0275,0.4363,0.0059,0.2574,0.0,0.0,0.0,0.0177,0.0002,0.0722,0.7027,0.0688,0.409,0.0,0.0,0.0009,0.0307,0.0577
sp500_Price_y,0.0622,1.0,0.0089,0.0001,0.1295,0.0,0.0141,0.0,0.0027,0.0036,0.585,0.0325,0.1993,0.4315,0.1842,0.175,0.0026,0.0089,0.0795,0.0797,0.4546,0.6549,0.3065,0.0779,0.0536,0.1435,0.0,0.0054,0.0014,0.1196,0.0121,0.2158,0.1956,0.2242,0.054,0.0042,0.0536
dax_Price_y,0.1407,0.0,1.0,0.0,0.2489,0.0,0.0003,0.0036,0.0386,0.0019,0.0331,0.0705,0.0901,0.0388,0.0943,0.1115,0.0687,0.0461,0.2274,0.1091,0.017,0.0022,0.0813,0.6846,0.7707,0.1498,0.2751,0.7078,0.3385,0.1123,0.0036,0.4162,0.4449,0.4653,0.2907,0.0649,0.0218
googl_Price_y,0.0061,0.0001,0.0018,1.0,0.2589,0.0003,0.0877,0.0,0.0005,0.0001,0.3631,0.1107,0.0893,0.2131,0.048,0.2188,0.0376,0.0711,0.1003,0.0697,0.3423,0.6628,0.2918,0.122,0.0007,0.0159,0.0079,0.0003,0.0131,0.2244,0.0398,0.5707,0.2187,0.1522,0.0034,0.0194,0.2293
gold_Price_y,0.5784,0.0063,0.0974,0.2933,1.0,0.3658,0.1002,0.4297,0.3902,0.1392,0.0047,0.3624,0.0149,0.67,0.3386,0.183,0.6487,0.3215,0.7322,0.4647,0.0181,0.0008,0.3212,0.8435,0.2929,0.4744,0.3853,0.1708,0.0152,0.1446,0.0089,0.507,0.2402,0.4504,0.0605,0.4539,0.1392
alibaba_Price_y,0.001,0.0004,0.1902,0.2112,0.0143,1.0,0.0099,0.0001,0.0001,0.067,0.4805,0.0802,0.7641,0.0616,0.0503,0.3426,0.045,0.0282,0.0257,0.0331,0.0451,0.4244,0.4874,0.0657,0.0032,0.0002,0.1717,0.0122,0.5008,0.0154,0.6348,0.2281,0.0449,0.1482,0.0812,0.4428,0.3366
amazon_Price_y,0.0525,0.0743,0.0882,0.035,0.3486,0.0,1.0,0.0,0.0002,0.0011,0.9404,0.2892,0.6522,0.0528,0.3723,0.1063,0.2604,0.0066,0.0003,0.03,0.2434,0.2535,0.0133,0.0078,0.0003,0.0527,0.0346,0.0,0.0938,0.2674,0.2815,0.3118,0.1562,0.1493,0.142,0.7884,0.3779
bitcoin_Google_Trends_y,0.0,0.0,0.0,0.0,0.1154,0.0,0.0,1.0,0.0091,0.0,0.0392,0.0004,0.0032,0.0009,0.3972,0.0535,0.0,0.0,0.0,0.0,0.1041,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0049,0.0,0.0,0.0022,0.4808,0.1363
cryptocurrency_Google_Trends_y,0.0,0.0,0.0,0.0,0.313,0.0,0.0,0.0056,1.0,0.0,0.0661,0.0044,0.0203,0.0039,0.3057,0.0289,0.0,0.0,0.0,0.0,0.5094,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.4868,0.0,0.0037,0.0,0.0,0.0,0.2649,0.0525
trading_Google_Trends_y,0.0,0.0073,0.0,0.0002,0.0102,0.001,0.0014,0.0002,0.0003,1.0,0.3311,0.013,0.0236,0.1325,0.185,0.0721,0.0009,0.0031,0.0014,0.0043,0.0812,0.0,0.007,0.0002,0.001,0.0001,0.0,0.0001,0.0022,0.7462,0.0,0.1023,0.0,0.0,0.0011,0.1653,0.0235
bitcoin_pos_sents_y,0.0,0.0,0.0133,0.0,0.0005,0.0,0.0,0.0001,0.0007,0.569,1.0,0.0,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0001,0.001,0.0,0.0,0.0,0.0,0.0001,0.0021,0.0,0.0001,0.0029,0.0151,0.1085,0.0889
bitcoin_neg_sents_y,0.0,0.0,0.0,0.0,0.0424,0.0,0.0,0.0,0.0,0.0063,0.0,1.0,0.0963,0.0,0.0,0.0116,0.0,0.0,0.0,0.0,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0604,0.0,0.0,0.0,0.0,0.0995,0.1119,0.0899
bitcoin_quot_sents_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,1.0,0.0,0.0007,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1162,0.4195,0.1378
economy_pos_sents_y,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0577,0.0,0.0,0.0003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5019,0.0,0.0,0.0,0.0,0.307,0.0071,0.0072
economy_neg_sents_y,0.0,0.0,0.0085,0.0,0.1584,0.0,0.0,0.022,0.1544,0.0005,0.0,0.0,0.0114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7253,0.0246,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.1885,0.0207,0.0,0.0088,0.1249,0.5499,0.0134,0.0024
economy_quot_sents_y,0.0,0.0,0.0,0.0,0.1184,0.0,0.0,0.0,0.0,0.0014,0.0178,0.0043,0.0081,0.0002,0.0,1.0,0.0,0.0,0.0,0.0,0.2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718,0.0,0.0,0.0,0.0,0.083,0.0553,0.0039
bitcoin_Price_prev_month_y,0.0,0.0049,0.0012,0.0007,0.2733,0.0,0.0006,0.0,0.0,0.0447,0.0344,0.0054,0.3,0.2686,0.2422,0.0232,1.0,0.0104,0.0,0.0613,0.7205,0.042,0.0743,0.0,0.0,0.0,0.0001,0.0108,0.0145,0.5044,0.0042,0.1865,0.0,0.0,0.0,0.0034,0.3663
googl_Price_prev_month_y,0.0326,0.0,0.0077,0.0,0.6716,0.0013,0.005,0.0022,0.0053,0.0,0.4132,0.0134,0.1235,0.1327,0.0561,0.076,0.0024,1.0,0.0003,0.0038,0.2155,0.0108,0.2522,0.0,0.0014,0.0308,0.0,0.0,0.0,0.3039,0.0,0.0583,0.0002,0.001,0.1275,0.0032,0.036
alibaba_Price_prev_month_y,0.0358,0.0001,0.0034,0.0,0.0334,0.0,0.0106,0.0089,0.0012,0.045,0.304,0.0001,0.1101,0.0951,0.7004,0.4948,0.0013,0.1001,1.0,0.0003,0.0038,0.2094,0.0652,0.0001,0.0,0.0171,0.0,0.0,0.0,0.0103,0.0,0.1653,0.0001,0.0003,0.0607,0.0,0.0182
sp500_Price_prev_month_y,0.2513,0.0,0.0009,0.0,0.0012,0.0001,0.0079,0.0234,0.1258,0.0495,0.0062,0.132,0.0016,0.2572,0.586,0.1074,0.1,0.0008,0.0,1.0,0.0615,0.0127,0.1422,0.0015,0.0102,0.1652,0.0,0.0,0.0,0.0005,0.0,0.276,0.0088,0.0316,0.0631,0.0026,0.0119
gold_Price_prev_month_y,0.5817,0.5706,0.1778,0.6096,0.0,0.6341,0.5764,0.7601,0.4274,0.1035,0.4755,0.1212,0.0494,0.3504,0.205,0.1674,0.7955,0.2076,0.4026,0.0049,1.0,0.0905,0.6411,0.5824,0.4754,0.4569,0.5857,0.3212,0.3058,0.0,0.0006,0.3814,0.2895,0.0846,0.3607,0.2526,0.3026
dax_Price_prev_month_y,0.3354,0.0006,0.0,0.0106,0.0648,0.0009,0.2342,0.1327,0.2009,0.2156,0.0301,0.0085,0.0,0.5353,0.1363,0.0197,0.1103,0.0,0.0,0.0,0.0114,1.0,0.0482,0.0155,0.0815,0.1982,0.0,0.0,0.0,0.0,0.0,0.0793,0.0903,0.1721,0.4882,0.0138,0.0003
economy_pos_sents_prev_month_y,0.0,0.0,0.0,0.0,0.1222,0.0,0.0,0.0,0.0,0.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4881,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,0.0,0.5402,0.0003,0.0014
bitcoin_trends_prev_month_y,0.0,0.0,0.0,0.0,0.1161,0.0,0.0,0.0,0.0,0.0,0.0518,0.0003,0.0021,0.0,0.0644,0.0156,0.0,0.0,0.0,0.0,0.0992,0.0,0.001,1.0,0.0176,0.0,0.0,0.0,0.0,0.1037,0.0,0.0002,0.0,0.0,0.0078,0.2415,0.7186
cryptocurrency_trends_prev_month_y,0.0,0.0,0.0,0.0,0.6159,0.0,0.0,0.0,0.0,0.0,0.1627,0.0012,0.0053,0.0,0.2538,0.0094,0.0,0.0,0.0,0.0,0.4302,0.0,0.0029,0.0053,1.0,0.0,0.0,0.0,0.0,0.3452,0.0,0.0003,0.0,0.0,0.0,0.0036,0.5139
bitcoin_Price_prev_week_y,0.0,0.0281,0.0051,0.0116,0.6985,0.0002,0.1116,0.0,0.0,0.0309,0.5534,0.0615,0.4305,0.0365,0.2199,0.3418,0.0,0.0335,0.0008,0.0633,0.8596,0.0114,0.3832,0.0,0.0,1.0,0.0079,0.0,0.0816,0.8484,0.0527,0.0687,0.0001,0.0,0.0086,0.0377,0.1832
googl_Price_prev_week_y,0.0019,0.0,0.0,0.0,0.6222,0.0,0.0,0.0015,0.0324,0.0103,0.2626,0.1878,0.2812,0.0163,0.0036,0.0312,0.2229,0.0152,0.0145,0.0015,0.1804,0.0471,0.1951,0.0097,0.0044,0.0016,1.0,0.0003,0.0041,0.4529,0.0215,0.2713,0.0,0.0013,0.0183,0.2322,0.1039
alibaba_Price_prev_week_y,0.0012,0.0,0.0,0.0,0.0091,0.0,0.0,0.0046,0.0172,0.3579,0.0944,0.1474,0.6692,0.074,0.0853,0.0976,0.0,0.0065,0.001,0.0643,0.02,0.0944,0.3887,0.0413,0.0254,0.0009,0.1809,1.0,0.0001,0.0096,0.2276,0.0328,0.0002,0.0001,0.1897,0.6224,0.1684
sp500_Price_prev_week_y,0.0491,0.0,0.0,0.0,0.2786,0.0,0.0,0.001,0.0051,0.0177,0.0004,0.0274,0.1642,0.0261,0.0419,0.0003,0.0449,0.0902,0.0435,0.0085,0.3056,0.0186,0.6426,0.1415,0.0786,0.0315,0.0002,0.0,1.0,0.3083,0.0218,0.3258,0.0003,0.0034,0.0689,0.0083,0.006
gold_Price_prev_week_y,0.1378,0.0378,0.0003,0.5637,0.0,0.6966,0.319,0.1435,0.2879,0.0182,0.1857,0.5834,0.0162,0.3922,0.3981,0.5679,0.2385,0.2811,0.6566,0.2374,0.0003,0.0302,0.2448,0.8305,0.4248,0.5635,0.2691,0.4402,0.0081,1.0,0.0805,0.7621,0.5061,0.3917,0.164,0.032,0.3263
dax_Price_prev_week_y,0.1844,0.0,0.0,0.0,0.0001,0.0,0.0,0.0085,0.0474,0.0759,0.2793,0.0549,0.0798,0.0945,0.0362,0.0002,0.0441,0.0412,0.265,0.0901,0.037,0.0009,0.0855,0.4153,0.6703,0.0942,0.0,0.0,0.0,0.0655,1.0,0.0655,0.0032,0.0235,0.7033,0.0767,0.0091
economy_pos_sents_prev_week_y,0.0,0.0,0.0,0.0,0.7714,0.0,0.0,0.0,0.0,0.0519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7828,0.0,1.0,0.0,0.0,0.577,0.0669,0.0366
bitcoin_trends_prev_week_y,0.0,0.0,0.0,0.0,0.0344,0.0,0.0,0.0,0.0,0.0,0.1915,0.0,0.0004,0.0001,0.0228,0.0056,0.0,0.0,0.0,0.0,0.0861,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0018,1.0,0.0096,0.0144,0.4366,0.122
