,bitcoin_Price_prev_2weeks_x,bitcoin_High_prev_2weeks_x,bitcoin_Low_prev_2weeks_x,alibaba_Price_prev_2weeks_x,alibaba_High_prev_2weeks_x,alibaba_Low_prev_2weeks_x,sp500_Price_prev_2weeks_x,sp500_High_prev_2weeks_x,sp500_Low_prev_2weeks_x,dax_Price_prev_2weeks_x,dax_High_prev_2weeks_x,dax_Low_prev_2weeks_x,amazon_Price_prev_2weeks_x,amazon_High_prev_2weeks_x,amazon_Low_prev_2weeks_x,googl_Price_prev_2weeks_x,googl_High_prev_2weeks_x,googl_Low_prev_2weeks_x,bitcoin_Google_Trends_prev_2weeks_x,cryptocurrency_Google_Trends_prev_2weeks_x,economy_pos_sents_prev_2weeks_x,month-1_x,month-2_x,bitcoin_Price_x,bitcoin_High_x,bitcoin_Low_x
bitcoin_Price_prev_2weeks_y,1.0,0.0,0.0,0.0019,0.0051,0.0377,0.2397,0.0608,0.1255,0.7873,0.8775,0.5106,0.7414,0.3368,0.4096,0.0183,0.4404,0.1756,0.0016,0.0,0.0255,0.0049,0.2058,0.0,0.0,0.0
bitcoin_High_prev_2weeks_y,0.0,1.0,0.0,0.0005,0.0084,0.014,0.1033,0.0153,0.0332,0.4813,0.3975,0.13,0.1238,0.4991,0.0807,0.0221,0.2765,0.19,0.0003,0.0,0.2766,0.0107,0.6427,0.0,0.0,0.0
bitcoin_Low_prev_2weeks_y,0.0,0.0,1.0,0.0,0.0,0.001,0.0555,0.0039,0.0123,0.1352,0.3349,0.2978,0.093,0.0128,0.016,0.0351,0.0233,0.0698,0.0011,0.0023,0.2671,0.0,0.1133,0.0,0.0,0.0
alibaba_Price_prev_2weeks_y,0.0007,0.2918,0.0005,1.0,0.0604,0.0578,0.0003,0.0132,0.0125,0.1865,0.3122,0.0252,0.0036,0.0027,0.0005,0.1311,0.251,0.1821,0.0,0.0004,0.1077,0.4268,0.674,0.0007,0.0011,0.0001
alibaba_High_prev_2weeks_y,0.0,0.0016,0.0,0.0,1.0,0.0,0.0,0.0223,0.0123,0.1588,0.0021,0.0408,0.0,0.0,0.0009,0.0,0.0243,0.0004,0.0002,0.0004,0.1,0.5364,0.5987,0.0005,0.0118,0.0
alibaba_Low_prev_2weeks_y,0.0001,0.0211,0.0011,0.0,0.0,1.0,0.0,0.007,0.1253,0.0931,0.0072,0.0028,0.0,0.0002,0.0035,0.0,0.1461,0.4873,0.0009,0.0,0.1602,0.3199,0.5025,0.0184,0.1209,0.0004
sp500_Price_prev_2weeks_y,0.0928,0.0296,0.0542,0.0,0.0,0.0002,1.0,0.028,0.0115,0.0127,0.0792,0.0162,0.239,0.0562,0.0826,0.0005,0.0387,0.0075,0.0078,0.0203,0.1251,0.1222,0.3069,0.0793,0.0601,0.1862
sp500_High_prev_2weeks_y,0.0107,0.0081,0.0144,0.0,0.0005,0.0,0.0,1.0,0.0,0.0086,0.0266,0.0049,0.0,0.0007,0.0,0.0,0.0418,0.0,0.345,0.2362,0.1778,0.1335,0.3683,0.0281,0.0068,0.0017
sp500_Low_prev_2weeks_y,0.0011,0.0074,0.0065,0.0,0.0125,0.023,0.0,0.0004,1.0,0.088,0.0064,0.0017,0.0,0.0093,0.0115,0.0,0.0434,0.0041,0.0103,0.0256,0.2301,0.1047,0.0544,0.0242,0.0189,0.0043
dax_Price_prev_2weeks_y,0.1187,0.4085,0.0938,0.0,0.0117,0.0012,0.0,0.3801,0.0137,1.0,0.0,0.0309,0.0013,0.0438,0.1691,0.0,0.0209,0.0307,0.291,0.1819,0.016,0.0957,0.0487,0.3556,0.0451,0.0151
