,bitcoin_Price_prev_month_x,bitcoin_High_prev_month_x,bitcoin_Low_prev_month_x,alibaba_Price_prev_month_x,alibaba_High_prev_month_x,alibaba_Low_prev_month_x,sp500_Price_prev_month_x,sp500_High_prev_month_x,sp500_Low_prev_month_x,dax_Price_prev_month_x,dax_High_prev_month_x,dax_Low_prev_month_x,amazon_Price_prev_month_x,amazon_High_prev_month_x,amazon_Low_prev_month_x,googl_Price_prev_month_x,googl_High_prev_month_x,googl_Low_prev_month_x,bitcoin_Google_Trends_prev_month_x,cryptocurrency_Google_Trends_prev_month_x,economy_pos_sents_prev_month_x,month-1_x,month-2_x,bitcoin_Price_x,bitcoin_High_x,bitcoin_Low_x
bitcoin_Price_prev_month_y,1.0,0.0,0.0,0.0022,0.0049,0.0364,0.2315,0.0326,0.1199,0.7839,0.8717,0.4456,0.6428,0.3248,0.4315,0.0278,0.4526,0.1388,0.0011,0.0,0.0258,0.0,0.003,0.0,0.0,0.0
bitcoin_High_prev_month_y,0.0,1.0,0.0,0.0003,0.0053,0.0109,0.0826,0.0168,0.0342,0.5072,0.4283,0.1297,0.1046,0.4451,0.0541,0.0179,0.3632,0.1884,0.0002,0.0,0.302,0.0,0.0002,0.0,0.0,0.0
bitcoin_Low_prev_month_y,0.0,0.0,1.0,0.0,0.0,0.0019,0.0556,0.0059,0.0136,0.1438,0.3827,0.281,0.0645,0.0034,0.0129,0.0419,0.027,0.0431,0.0012,0.0019,0.2225,0.0002,0.0016,0.0,0.0,0.0
alibaba_Price_prev_month_y,0.0012,0.3129,0.0015,1.0,0.0615,0.0285,0.0002,0.0061,0.0083,0.1382,0.238,0.0197,0.0029,0.0016,0.0007,0.087,0.1925,0.179,0.0001,0.0004,0.0744,0.0607,0.0,0.0283,0.0136,0.0022
alibaba_High_prev_month_y,0.0,0.0033,0.0,0.0,1.0,0.0,0.0,0.01,0.0196,0.1735,0.001,0.0276,0.0,0.0,0.0068,0.0,0.0749,0.0021,0.0004,0.0003,0.0952,0.1826,0.0011,0.0619,0.033,0.0022
alibaba_Low_prev_month_y,0.0001,0.0209,0.0019,0.0,0.0,1.0,0.0,0.0042,0.1425,0.0749,0.0045,0.0019,0.0,0.0001,0.0039,0.0,0.129,0.7213,0.0012,0.0,0.1413,0.3247,0.0012,0.0594,0.151,0.0011
sp500_Price_prev_month_y,0.128,0.0228,0.0559,0.0,0.0,0.0003,1.0,0.0368,0.0063,0.01,0.0863,0.022,0.107,0.0222,0.0862,0.0006,0.0217,0.0096,0.0105,0.0243,0.1161,0.0646,0.0026,0.2308,0.2169,0.1839
sp500_High_prev_month_y,0.0162,0.0092,0.0201,0.0,0.0008,0.0,0.0,1.0,0.0,0.0072,0.0172,0.0057,0.0,0.0002,0.0,0.0,0.0652,0.0,0.4099,0.2468,0.1996,0.237,0.0432,0.2489,0.0255,0.0191
sp500_Low_prev_month_y,0.0018,0.0098,0.005,0.0,0.0165,0.0285,0.0,0.001,1.0,0.074,0.0051,0.0014,0.0,0.0051,0.0036,0.0,0.0308,0.0032,0.0156,0.0332,0.3021,0.3517,0.0001,0.1366,0.1007,0.0826
dax_Price_prev_month_y,0.1444,0.4473,0.0779,0.0,0.0193,0.0017,0.0,0.3551,0.0239,1.0,0.0,0.0386,0.0035,0.0252,0.2068,0.0,0.0252,0.0513,0.3594,0.2139,0.0142,0.4872,0.0145,0.4363,0.6486,0.3944
