,bitcoin_Price_x,bitcoin_High_x,bitcoin_Low_x,sp500_Price_x,sp500_High_x,sp500_Low_x,dax_Price_x,dax_High_x,dax_Low_x,googl_Price_x,googl_High_x,googl_Low_x,gold_Price_x,gold_High_x,gold_Low_x,alibaba_Price_x,alibaba_High_x,alibaba_Low_x,amazon_Price_x,amazon_High_x,amazon_Low_x,bitcoin_Google_Trends_x,cryptocurrency_Google_Trends_x,trading_Google_Trends_x,bitcoin_pos_sents_x,bitcoin_neg_sents_x,bitcoin_quot_sents_x,economy_pos_sents_x,economy_neg_sents_x,economy_quot_sents_x
bitcoin_Price_y,1.0,0.0,0.0,0.3091,0.1633,0.1404,0.6992,0.731,0.3144,0.0388,0.357,0.1444,0.6376,0.4458,0.4598,0.0016,0.0136,0.0418,0.4165,0.5645,0.1892,0.0014,0.0,0.7088,0.1853,0.407,0.9216,0.0224,0.1875,0.5378
bitcoin_High_y,0.0,1.0,0.0,0.144,0.0574,0.0544,0.3575,0.581,0.0752,0.0264,0.2773,0.1635,0.8181,0.4535,0.6076,0.0005,0.0088,0.014,0.0541,0.4245,0.038,0.0003,0.0,0.1789,0.0811,0.7378,0.5481,0.2857,0.6081,0.4191
bitcoin_Low_y,0.0,0.0,1.0,0.0103,0.0108,0.0218,0.121,0.371,0.2649,0.0103,0.044,0.0666,0.2516,0.4607,0.1576,0.0,0.0,0.0013,0.0389,0.0155,0.0137,0.0012,0.0023,0.9266,0.0104,0.3788,0.4427,0.2445,0.7888,0.7758
sp500_Price_y,0.1068,0.0498,0.1783,1.0,0.0,0.0,0.0044,0.0023,0.0002,0.0,0.0,0.0009,0.0917,0.0244,0.0413,0.0,0.0,0.0017,0.0107,0.0,0.0005,0.0293,0.1334,0.0023,0.4738,0.0261,0.153,0.6082,0.1627,0.3974
sp500_High_y,0.0144,0.0318,0.022,0.0,1.0,0.0,0.0071,0.0047,0.0007,0.0,0.0169,0.0,0.0212,0.1519,0.159,0.0,0.0122,0.0,0.0,0.0,0.0,0.1347,0.2365,0.0926,0.3352,0.0211,0.2756,0.2293,0.6443,0.1158
sp500_Low_y,0.0007,0.0263,0.018,0.0,0.0,1.0,0.1136,0.0072,0.0017,0.0,0.0005,0.0088,0.0626,0.3486,0.1159,0.0,0.0702,0.208,0.0,0.0,0.0,0.0206,0.0477,0.0386,0.1267,0.0608,0.2841,0.4665,0.0528,0.5252
dax_Price_y,0.0691,0.342,0.0562,0.0,0.0585,0.0001,1.0,0.0,0.0028,0.0,0.0223,0.0012,0.3757,0.111,0.1668,0.0,0.0248,0.0037,0.0001,0.0024,0.0088,0.4239,0.2509,0.1992,0.0288,0.0523,0.0549,0.0111,0.2827,0.1089
dax_High_y,0.006,0.0593,0.0384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0538,0.0047,0.0791,0.0,0.0,0.0,0.0,0.0001,0.0,0.266,0.4973,0.03,0.1987,0.1833,0.0329,0.4088,0.7123,0.4036
dax_Low_y,0.0036,0.03,0.2043,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0132,0.0144,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0603,0.0411,0.0137,0.3047,0.51,0.2766,0.0911,0.1583,0.0862
googl_Price_y,0.0066,0.0,0.0002,0.0002,0.0353,0.0,0.0008,0.0009,0.0001,1.0,0.0002,0.0,0.2356,0.1163,0.131,0.0008,0.0311,0.1036,0.0593,0.043,0.003,0.0002,0.0042,0.0005,0.5622,0.0891,0.2919,0.2524,0.0391,0.4133
