,bitcoin_Price_prev_week_x,bitcoin_High_prev_week_x,bitcoin_Low_prev_week_x,alibaba_Price_prev_week_x,alibaba_High_prev_week_x,alibaba_Low_prev_week_x,sp500_Price_prev_week_x,sp500_High_prev_week_x,sp500_Low_prev_week_x,dax_Price_prev_week_x,dax_High_prev_week_x,dax_Low_prev_week_x,amazon_Price_prev_week_x,amazon_High_prev_week_x,amazon_Low_prev_week_x,googl_Price_prev_week_x,googl_High_prev_week_x,googl_Low_prev_week_x,bitcoin_Google_Trends_prev_week_x,cryptocurrency_Google_Trends_prev_week_x,economy_pos_sents_prev_week_x,month-1_x,month-2_x,bitcoin_Price_x,bitcoin_High_x,bitcoin_Low_x
bitcoin_Price_prev_week_y,1.0,0.0,0.0,0.0017,0.0057,0.048,0.2952,0.0968,0.1537,0.892,0.8998,0.4928,0.5922,0.4302,0.3093,0.0174,0.4441,0.147,0.0012,0.0,0.0257,0.0158,0.0646,0.0,0.0,0.0
bitcoin_High_prev_week_y,0.0,1.0,0.0,0.001,0.0115,0.027,0.1171,0.0234,0.0347,0.4292,0.5015,0.1221,0.1057,0.4934,0.0693,0.0199,0.2495,0.1768,0.0004,0.0,0.2711,0.0339,0.3601,0.0,0.0,0.0
bitcoin_Low_prev_week_y,0.0,0.0,1.0,0.0,0.0,0.0012,0.0205,0.0052,0.0131,0.1029,0.3219,0.2556,0.0802,0.0225,0.0135,0.0212,0.0304,0.0638,0.0005,0.002,0.2705,0.1054,0.0499,0.0,0.0,0.0
alibaba_Price_prev_week_y,0.0007,0.2917,0.0004,1.0,0.0471,0.0392,0.0001,0.0206,0.004,0.1215,0.4641,0.0498,0.0038,0.0026,0.001,0.1214,0.2026,0.1411,0.0002,0.0006,0.0974,0.1302,0.4533,0.0005,0.0003,0.0489
alibaba_High_prev_week_y,0.0,0.0013,0.0,0.0,1.0,0.0,0.0,0.0468,0.0138,0.1685,0.0039,0.0621,0.0,0.0,0.0064,0.0,0.0244,0.0009,0.0005,0.0004,0.0889,0.1578,0.3284,0.0013,0.001,0.0076
alibaba_Low_prev_week_y,0.0001,0.0248,0.0013,0.0,0.0,1.0,0.0,0.0361,0.114,0.0808,0.0124,0.0034,0.0,0.0003,0.0154,0.0,0.1407,0.4566,0.0021,0.0,0.1412,0.2312,0.2794,0.0838,0.0356,0.0381
sp500_Price_prev_week_y,0.0403,0.0322,0.05,0.0,0.0003,0.0048,1.0,0.0033,0.0047,0.01,0.1254,0.0231,0.0307,0.0002,0.0044,0.0001,0.0013,0.0008,0.0048,0.017,0.331,0.0427,0.012,0.2085,0.143,0.1233
sp500_High_prev_week_y,0.0138,0.0227,0.0213,0.0,0.0129,0.0,0.0,1.0,0.0,0.0132,0.0203,0.0006,0.0,0.0,0.0,0.0,0.0431,0.0,0.0909,0.0574,0.2212,0.3348,0.0083,0.0188,0.0609,0.0017
sp500_Low_prev_week_y,0.0004,0.0157,0.0095,0.0,0.089,0.2871,0.0,0.0,1.0,0.1585,0.0103,0.0007,0.0,0.0,0.0002,0.0,0.0027,0.0053,0.0088,0.0271,0.4203,0.0937,0.0079,0.0136,0.0605,0.0283
dax_Price_prev_week_y,0.0816,0.3785,0.0634,0.0,0.0189,0.0017,0.0,0.4588,0.001,1.0,0.0,0.0227,0.0002,0.0103,0.0268,0.0,0.0354,0.0068,0.2576,0.1737,0.0156,0.3102,0.0583,0.3801,0.5347,0.1836
