date,bitcoin,cryptocurrency,ethereum,trading,etf,isPartial
2015-01-08 00:00:00,29,1,0,79,10,False
2015-01-08 01:00:00,22,0,0,93,10,False
2015-01-08 02:00:00,26,0,0,87,9,False
2015-01-08 03:00:00,21,0,0,80,11,False
2015-01-08 04:00:00,20,0,0,87,11,False
2015-01-08 05:00:00,22,0,0,87,9,False
2015-01-08 06:00:00,17,0,0,79,8,False
2015-01-08 07:00:00,16,0,0,77,8,False
2015-01-08 08:00:00,16,0,0,75,10,False
2015-01-08 09:00:00,16,0,0,67,10,False
2015-01-08 10:00:00,17,0,0,68,11,False
2015-01-08 11:00:00,16,0,0,69,9,False
2015-01-08 12:00:00,15,0,0,65,10,False
2015-01-08 13:00:00,15,0,0,62,10,False
2015-01-08 14:00:00,15,0,0,67,13,False
2015-01-08 15:00:00,16,0,0,59,14,False
2015-01-08 16:00:00,16,0,0,58,13,False
2015-01-08 17:00:00,17,0,0,58,12,False
2015-01-08 18:00:00,16,0,0,51,12,False
2015-01-08 19:00:00,17,0,0,60,13,False
2015-01-08 20:00:00,18,0,0,59,13,False
2015-01-08 21:00:00,18,0,0,61,12,False
2015-01-08 22:00:00,20,0,0,62,11,False
2015-01-08 23:00:00,21,0,0,66,11,False
2015-01-09 00:00:00,26,0,0,77,11,False
2015-01-09 01:00:00,19,0,0,76,10,False
2015-01-09 02:00:00,23,0,0,97,10,False
2015-01-09 03:00:00,20,0,0,80,10,False
2015-01-09 04:00:00,18,0,0,86,10,False
2015-01-09 05:00:00,21,0,0,80,9,False
2015-01-09 06:00:00,21,0,0,77,8,False
2015-01-09 07:00:00,18,0,0,79,8,False
2015-01-09 08:00:00,17,0,0,72,9,False
2015-01-09 09:00:00,17,0,0,74,9,False
2015-01-09 10:00:00,20,0,0,67,8,False
2015-01-09 11:00:00,15,0,0,61,10,False
2015-01-09 12:00:00,14,0,0,61,9,False
2015-01-09 13:00:00,15,0,0,57,9,False
2015-01-09 14:00:00,15,0,0,57,11,False
2015-01-09 15:00:00,16,0,0,65,12,False
2015-01-09 16:00:00,16,0,0,59,12,False
2015-01-09 17:00:00,19,0,0,56,11,False
2015-01-09 18:00:00,19,0,0,52,10,False
2015-01-09 19:00:00,19,0,0,55,11,False
2015-01-09 20:00:00,20,0,0,63,11,False
2015-01-09 21:00:00,19,0,0,59,10,False
2015-01-09 22:00:00,26,0,0,63,9,False
2015-01-09 23:00:00,23,0,0,59,8,False
2015-01-10 00:00:00,22,0,0,69,7,False
2015-01-10 01:00:00,21,0,0,84,7,False
2015-01-10 02:00:00,21,0,0,87,6,False
2015-01-10 03:00:00,21,0,0,76,7,False
2015-01-10 04:00:00,19,0,0,79,7,False
2015-01-10 05:00:00,22,0,0,88,6,False
2015-01-10 06:00:00,18,0,0,75,5,False
2015-01-10 07:00:00,17,0,0,65,5,False
2015-01-10 08:00:00,16,0,0,66,6,False
2015-01-10 09:00:00,15,0,0,58,6,False
2015-01-10 10:00:00,16,0,0,57,7,False
2015-01-10 11:00:00,18,0,0,52,5,False
2015-01-10 12:00:00,15,0,0,49,6,False
2015-01-10 13:00:00,14,0,0,57,6,False
2015-01-10 14:00:00,16,0,0,57,7,False
2015-01-10 15:00:00,16,0,0,49,7,False
2015-01-10 16:00:00,16,0,0,50,7,False
2015-01-10 17:00:00,15,0,0,51,8,False
2015-01-10 18:00:00,17,1,0,49,7,False
2015-01-10 19:00:00,17,0,0,53,6,False
2015-01-10 20:00:00,17,1,0,61,7,False
2015-01-10 21:00:00,17,0,0,55,7,False
